IncLevel1	IncLevel2	IncLevelDifference
0.0	0.0,0.143	-0.071
0.0	0.0,0.091	-0.045
0.0	0.0,0.234	-0.117
0.333	1.0,1.0	-0.667
0.0	NA,0.333	-0.333
0.0	1.0,0.0	-0.5
1.0	NA,0.0	1.0
0.091	0.0,0.0	0.091
0.0	0.182,0.0	-0.091
0.0	0.333,0.0	-0.167
0.0	NA,1.0	-1.0
0.0	0.5,0.0	-0.25
0.0	NA,1.0	-1.0
0.206	NA,0.0	0.206
0.0	0.0,0.333	-0.167
0.0	NA,0.385	-0.385
0.0	1.0,NA	-1.0
0.333	NA,0.0	0.333
0.0	1.0,0.0	-0.5
0.2	0.0,0.0	0.2
0.0	0.0,0.067	-0.034
0.0	0.0,0.333	-0.167
1.0	0.0,NA	1.0
0.0	0.5,0.0	-0.25
0.047	0.0,0.0	0.047
0.011	0.0,0.0	0.011
0.896	1.0,1.0	-0.104
0.0	0.0,0.009	-0.004
0.333	NA,0.0	0.333
0.0	0.0,0.285	-0.142
0.0	0.111,0.0	-0.056
0.0	1.0,NA	-1.0
0.201	NA,0.0	0.201
0.347	NA,0.0	0.347
0.032	NA,0.111	-0.079
0.143	NA,0.333	-0.19
0.0	NA,1.0	-1.0
0.0	NA,1.0	-1.0
0.0	1.0,0.0	-0.5
1.0	0.0,NA	1.0
0.0	0.0,0.047	-0.024
0.143	NA,0.0	0.143
0.161	0.0,0.224	0.049
0.0	0.0,0.231	-0.116
0.0	0.043,0.0	-0.021
0.0	0.25,NA	-0.25
0.0	0.333,0.0	-0.167
0.0	NA,1.0	-1.0
0.0	0.0,0.111	-0.056
0.0	0.077,0.0	-0.038
0.647	0.0,NA	0.647
1.0	0.0,NA	1.0
0.226	0.047,0.167	0.119
0.0	0.0,0.091	-0.045
0.0	0.5,0.143	-0.322
0.0	1.0,NA	-1.0
1.0	0.0,NA	1.0
0.091	0.0,0.0	0.091
1.0	0.0,NA	1.0
0.0	1.0,NA	-1.0
0.0	1.0,NA	-1.0
0.0	0.056,0.0	-0.028
0.0	0.091,0.037	-0.064
0.333	0.25,NA	0.083
0.0	0.009,0.0	-0.004
1.0	1.0,0.689	0.155
0.5	NA,0.0	0.5
0.2	0.25,0.125	0.013
0.0	0.0,0.2	-0.1
0.0	0.148,1.0	-0.574
0.0	1.0,0.382	-0.691
0.0	1.0,0.0	-0.5
0.143	0.333,0.0	-0.024
0.0	0.143,0.0	-0.071
0.0	0.0,0.111	-0.056
1.0	0.0,NA	1.0
1.0	1.0,0.0	0.5
0.0	0.111,0.0	-0.056
0.0	0.333,NA	-0.333
0.0	NA,1.0	-1.0
0.0	NA,1.0	-1.0
0.2	NA,0.0	0.2
0.2	0.0,0.0	0.2
0.5	0.333,0.0	0.334
0.0	1.0,NA	-1.0
0.167	0.091,NA	0.076
0.0	1.0,0.0	-0.5
0.158	0.0,0.0	0.158
0.0	NA,1.0	-1.0
0.0	1.0,0.0	-0.5
1.0	0.0,NA	1.0
0.25	0.0,NA	0.25
0.0	0.333,0.2	-0.267
0.143	NA,1.0	-0.857
0.053	0.333,0.0	-0.114
0.0	0.26,0.0	-0.13
0.333	0.0,0.0	0.333
1.0	NA,0.0	1.0
0.0	0.576,NA	-0.576
0.0	1.0,NA	-1.0
0.0	NA,1.0	-1.0
0.0	1.0,NA	-1.0
0.0	0.0,0.333	-0.167
0.333	0.429,0.0	0.119
0.072	0.0,0.0	0.072
0.059	NA,0.0	0.059
0.0	0.0,0.2	-0.1
0.0	1.0,NA	-1.0
0.0	1.0,NA	-1.0
1.0	NA,0.0	1.0
0.077	0.0,0.0	0.077
0.0	NA,0.333	-0.333
0.1	0.25,0.333	-0.191
0.0	0.143,NA	-0.143
0.093	0.0,0.093	0.046
1.0	NA,0.0	1.0
0.0	NA,1.0	-1.0
0.0	NA,0.333	-0.333
0.0	0.25,0.0	-0.125
0.0	NA,1.0	-1.0
0.018	0.0,0.0	0.018
0.0	0.0,0.2	-0.1
1.0	1.0,0.0	0.5
0.0	NA,0.2	-0.2
0.0	0.333,0.0	-0.167
0.0	0.333,0.0	-0.167
0.5	1.0,NA	-0.5
